Pixels,Quality Factor,Execution Time
10000,100,0.292
10000,100,0.404
10000,100,0.36
10000,100,0.381
10000,100,0.382
10000,100,0.343
10000,100,0.31
10000,100,0.495
10000,100,0.394
10000,100,0.301
10000,100,0.322
10000,100,0.315
10000,100,0.42
10000,100,0.353
10000,100,0.318
10000,100,0.368
10000,100,0.327
10000,100,0.399
10000,100,0.404
10000,100,0.366
640000,100,3.174
640000,100,3.13
640000,100,3.158
640000,100,3.157
640000,100,3.164
640000,100,3.126
640000,100,3.144
640000,100,3.446
640000,100,3.198
640000,100,3.198
640000,100,3.037
640000,100,3.288
640000,100,3.213
640000,100,3.193
640000,100,3.204
640000,100,3.146
640000,100,3.206
640000,100,3.319
640000,100,3.111
640000,100,3.256
2560000,100,9.978
2560000,100,9.773
2560000,100,9.93
2560000,100,9.673
2560000,100,10.155
2560000,100,9.719
2560000,100,9.953
2560000,100,12.32
2560000,100,11.343
2560000,100,9.859
2560000,100,9.805
2560000,100,11.679
2560000,100,9.639
2560000,100,12.304
2560000,100,11.67
2560000,100,9.706
2560000,100,9.614
2560000,100,10.144
2560000,100,9.898
2560000,100,11.808
9000000,100,32.553
9000000,100,32.428
9000000,100,31.774
9000000,100,31.856
9000000,100,33.919
9000000,100,31.997
9000000,100,32.487
9000000,100,31.732
9000000,100,33.278
9000000,100,33.179
9000000,100,32.738
9000000,100,32.357
9000000,100,32.558
9000000,100,31.704
9000000,100,32.826
9000000,100,32.702
9000000,100,31.497
9000000,100,32.502
9000000,100,31.662
9000000,100,33.208
64000000,100,211.558
64000000,100,212.689
64000000,100,250.847
64000000,100,215.264
64000000,100,213.609
64000000,100,215.198
64000000,100,214.701
64000000,100,218.25
