Pixels,Quality Factor,Execution Time
64000000,100,4.746
64000000,100,4.634
64000000,100,4.431
64000000,100,4.525
64000000,100,4.737
64000000,100,4.402
64000000,100,4.543
64000000,100,4.696
64000000,100,4.554
64000000,100,4.639
64000000,100,4.585
64000000,100,4.545
64000000,100,4.583
64000000,100,4.679
64000000,100,4.467
64000000,100,4.401
64000000,100,4.515
64000000,100,4.572
64000000,100,4.589
64000000,100,4.662
64000000,100,4.783
64000000,100,4.407
64000000,100,4.449
64000000,100,4.344
64000000,100,4.398
64000000,100,4.448
64000000,100,4.458
64000000,100,4.387
64000000,100,4.451
64000000,100,4.432
64000000,100,4.448
64000000,100,4.474
64000000,100,4.409
64000000,100,4.332
64000000,100,4.461
64000000,100,4.463
64000000,100,4.489
64000000,100,4.536
64000000,100,4.452
64000000,100,4.484
64000000,100,4.334
64000000,100,4.558
64000000,100,4.489
64000000,100,4.551
64000000,100,4.327
64000000,100,4.436
64000000,100,4.454
64000000,100,4.485
64000000,100,4.599
64000000,100,4.505
