Pixels,Quality Factor,Execution Time
10000,100,0.011
10000,100,0.003
10000,100,0.008
10000,100,0.004
10000,100,0.003
10000,100,0.003
10000,100,0.004
10000,100,0.003
10000,100,0.003
10000,100,0.003
10000,100,0.004
10000,100,0.003
10000,100,0.003
10000,100,0.003
10000,100,0.004
10000,100,0.003
10000,100,0.003
10000,100,0.004
10000,100,0.003
10000,100,0.003
640000,100,0.11
640000,100,0.103
640000,100,0.106
640000,100,0.103
640000,100,0.11
640000,100,0.107
640000,100,0.102
640000,100,0.143
640000,100,0.105
640000,100,0.104
640000,100,0.1
640000,100,0.101
640000,100,0.107
640000,100,0.103
640000,100,0.105
640000,100,0.103
640000,100,0.102
640000,100,0.111
640000,100,0.104
640000,100,0.122
2560000,100,0.283
2560000,100,0.295
2560000,100,0.289
2560000,100,0.29
2560000,100,0.305
2560000,100,0.279
2560000,100,0.284
2560000,100,0.305
2560000,100,0.274
2560000,100,0.275
2560000,100,0.283
2560000,100,0.285
2560000,100,0.278
2560000,100,0.279
2560000,100,0.279
2560000,100,0.28
2560000,100,0.285
2560000,100,0.279
2560000,100,0.284
2560000,100,0.28
64000000,100,3.984
64000000,100,3.975
64000000,100,3.97
64000000,100,3.977
64000000,100,3.971
64000000,100,3.964
64000000,100,3.968
64000000,100,3.971
64000000,100,3.963
64000000,100,3.986
64000000,100,3.958
64000000,100,3.976
64000000,100,3.973
64000000,100,3.967
64000000,100,3.972
64000000,100,3.969
64000000,100,3.967
64000000,100,3.974
64000000,100,3.965
64000000,100,3.99
9000000,100,0.743
9000000,100,0.771
9000000,100,0.746
9000000,100,0.74
9000000,100,0.751
9000000,100,0.743
9000000,100,0.743
9000000,100,0.739
9000000,100,0.751
9000000,100,0.745
9000000,100,0.739
9000000,100,0.738
9000000,100,0.74
9000000,100,0.75
9000000,100,0.743
9000000,100,0.744
9000000,100,0.739
9000000,100,0.743
9000000,100,0.746
9000000,100,0.752
64000000,100,3.983
