Individual Block Times,Index
0.0038293,1
0.0067973,2
0.0131172,3
0.0155173,4
0.0168419,5
0.0202395,6
0.023044,7
0.0305043,8
0.0314249,9
0.0329146,10
0.041282,11
0.0443792,12
0.0504867,13
0.0508138,14
0.0514601,15
0.0613999,16
0.0638805,17
0.0668498,18
0.0672512,19
0.0689376,20
0.0715719,21
0.0748805,22
0.0804935,23
0.0835742,24
0.0838385,25
0.0855981,26
0.0894562,27
0.0899481,28
0.090133,29
0.0913506,30
0.0943598,31
0.0981209,32
0.0999776,33
0.105591,34
0.109255,35
0.112694,36
0.119699,37
0.129659,38
0.1371,39
0.149152,40
0.153331,41
0.15578,42
0.161652,43
0.168398,44
0.168561,45
0.173347,46
0.176138,47
0.178173,48
0.179167,49
0.188236,50
0.189,51
0.19238,52
0.193299,53
0.196946,54
0.201394,55
0.204177,56
0.207929,57
0.212921,58
0.215315,59
0.220797,60
0.221309,61
0.22901,62
0.233529,63
0.234664,64
0.239882,65
0.239923,66
0.245461,67
0.248953,68
0.249941,69
0.250027,70
0.251398,71
0.252759,72
0.261103,73
0.261268,74
0.267077,75
0.269558,76
0.272869,77
0.277029,78
0.287651,79
0.299402,80
0.30743,81
0.311964,82
0.312447,83
0.317796,84
0.32847,85
0.329921,86
0.329997,87
0.334353,88
0.336452,89
0.337125,90
0.340808,91
0.34252,92
0.351667,93
0.356376,94
0.360217,95
0.366711,96
0.377711,97
0.381165,98
0.382533,99
0.384407,100
0.384496,101
0.384551,102
0.38513,103
0.387653,104
0.389259,105
0.391066,106
0.391589,107
0.397456,108
0.399101,109
0.412403,110
0.415775,111
0.419818,112
0.421299,113
0.42146,114
0.427858,115
0.432819,116
0.435736,117
0.442614,118
0.442843,119
0.44501,120
0.446634,121
0.448231,122
0.454099,123
0.458377,124
0.459558,125
0.465373,126
0.466986,127
0.492382,128
0.494529,129
0.501745,130
0.502715,131
0.510002,132
0.512624,133
0.515813,134
0.520418,135
0.521642,136
0.526834,137
0.528063,138
0.528604,139
0.529934,140
0.530376,141
0.532577,142
0.533689,143
0.535513,144
0.538514,145
0.542389,146
0.558364,147
0.561468,148
0.561862,149
0.561928,150
0.56256,151
0.563302,152
0.564649,153
0.567538,154
0.569429,155
0.572333,156
0.588122,157
0.589753,158
0.59021,159
0.597775,160
0.598823,161
0.600879,162
0.603909,163
0.60617,164
0.609456,165
0.615866,166
0.619627,167
0.623253,168
0.626912,169
0.634934,170
0.637488,171
0.638332,172
0.644516,173
0.648015,174
0.649642,175
0.650998,176
0.653485,177
0.656014,178
0.657072,179
0.659823,180
0.660998,181
0.661105,182
0.662074,183
0.662666,184
0.666547,185
0.667281,186
0.667754,187
0.669708,188
0.674506,189
0.678561,190
0.681799,191
0.68325,192
0.684845,193
0.693696,194
0.69524,195
0.700171,196
0.702478,197
0.711188,198
0.711925,199
0.714866,200
0.723939,201
0.724838,202
0.727182,203
0.737967,204
0.745346,205
0.749325,206
0.750103,207
0.750853,208
0.75137,209
0.753608,210
0.76137,211
0.76443,212
0.764725,213
0.768077,214
0.774619,215
0.775936,216
0.780378,217
0.788452,218
0.792539,219
0.792905,220
0.798184,221
0.803327,222
0.805107,223
0.806591,224
0.808666,225
0.812774,226
0.816194,227
0.818186,228
0.82436,229
0.826001,230
0.826547,231
0.830036,232
0.83056,233
0.830614,234
0.832125,235
0.832482,236
0.833294,237
0.837473,238
0.839668,239
0.840858,240
0.842353,241
0.844272,242
0.846128,243
0.846621,244
0.848904,245
0.852081,246
0.854233,247
0.855481,248
0.857713,249
0.862978,250
0.866852,251
0.869036,252
0.86992,253
0.872912,254
0.87732,255
0.877466,256
0.882138,257
0.883818,258
0.887907,259
0.888749,260
0.889544,261
0.895821,262
0.901889,263
0.917922,264
0.924891,265
0.925711,266
0.926149,267
0.926848,268
0.935073,269
0.936632,270
0.94042,271
0.945094,272
0.955186,273
0.959078,274
0.961161,275
0.972622,276
0.972712,277
0.979292,278
0.98137,279
0.983951,280
0.984114,281
0.988652,282
0.994054,283
0.997873,284
0.997987,285
1.0025,286
1.00307,287
1.00386,288
1.00624,289
1.00755,290
1.00954,291
1.0101,292
1.01132,293
1.01214,294
1.0148,295
1.0215,296
1.02482,297
1.0255,298
1.03302,299
1.03324,300
1.03726,301
1.03941,302
1.04099,303
1.04544,304
1.04864,305
1.05667,306
1.05791,307
1.07665,308
1.07759,309
1.07838,310
1.07998,311
1.08096,312
1.0836,313
1.08945,314
1.09017,315
1.09341,316
1.09354,317
1.10465,318
1.10542,319
1.10601,320
1.11281,321
1.11554,322
1.11852,323
1.11904,324
1.12223,325
1.12547,326
1.12741,327
1.12805,328
1.12862,329
1.12871,330
1.12959,331
1.13145,332
1.13501,333
1.13527,334
1.13787,335
1.13856,336
1.14511,337
1.14821,338
1.14989,339
1.15324,340
1.15891,341
1.16486,342
1.17498,343
1.17638,344
1.17798,345
1.18136,346
1.18752,347
1.19017,348
1.19121,349
1.1987,350
1.19952,351
1.20421,352
1.20522,353
1.20932,354
1.21187,355
1.21721,356
1.21853,357
1.22062,358
1.22726,359
1.23352,360
1.23393,361
1.23399,362
1.23419,363
1.23442,364
1.23557,365
1.23565,366
1.23646,367
1.24705,368
1.24935,369
1.24963,370
1.25089,371
1.25441,372
1.25702,373
1.25814,374
1.25896,375
1.26439,376
1.26719,377
1.2673,378
1.26899,379
1.27357,380
1.28391,381
1.28544,382
1.28724,383
1.29226,384
1.29393,385
1.29457,386
1.30015,387
1.30236,388
1.30602,389
1.30744,390
1.30852,391
1.3101,392
1.31182,393
1.31369,394
1.31398,395
1.31452,396
1.31719,397
1.32209,398
1.32399,399
1.32511,400
1.33016,401
1.33919,402
1.35022,403
1.35296,404
1.35382,405
1.35439,406
1.36161,407
1.36907,408
1.37392,409
1.37412,410
1.37673,411
1.37697,412
1.37712,413
1.38545,414
1.39531,415
1.39569,416
1.39728,417
1.39794,418
1.40098,419
1.40308,420
1.40482,421
1.40578,422
1.40902,423
1.40951,424
1.41062,425
1.41198,426
1.41505,427
1.41641,428
1.41668,429
1.42158,430
1.42223,431
1.42643,432
1.4266,433
1.43177,434
1.43953,435
1.44677,436
1.44738,437
1.45267,438
1.45314,439
1.45384,440
1.45971,441
1.46256,442
1.46364,443
1.47044,444
1.47123,445
1.47613,446
1.47926,447
1.48109,448
1.48467,449
1.48472,450
1.48792,451
1.49363,452
1.49382,453
1.49391,454
1.49496,455
1.49702,456
1.50307,457
1.51181,458
1.52612,459
1.5284,460
1.53317,461
1.53565,462
1.53604,463
1.53772,464
1.53999,465
1.54241,466
1.54388,467
1.54513,468
1.54626,469
1.54665,470
1.54793,471
1.55073,472
1.55331,473
1.55537,474
1.55662,475
1.5569,476
1.55874,477
1.55975,478
1.56248,479
1.56294,480
1.56415,481
1.56675,482
1.57005,483
1.57155,484
1.57227,485
1.57335,486
1.57429,487
1.57767,488
1.58096,489
1.58311,490
1.58506,491
1.58598,492
1.58937,493
1.59116,494
1.5922,495
1.59615,496
1.60049,497
1.60105,498
1.60605,499
1.6103,500
1.612,501
1.61305,502
1.61453,503
1.61541,504
1.61666,505
1.6203,506
1.62137,507
1.62453,508
1.62919,509
1.63993,510
1.65023,511
1.6509,512
1.65228,513
1.65648,514
1.66378,515
1.66501,516
1.67232,517
1.67305,518
1.67514,519
1.67956,520
1.67987,521
1.68181,522
1.68251,523
1.68677,524
1.69173,525
1.69245,526
1.69322,527
1.69532,528
1.70036,529
1.70339,530
1.70403,531
1.70594,532
1.70968,533
1.71367,534
1.71825,535
1.72116,536
1.7212,537
1.72192,538
1.72324,539
1.7264,540
1.72936,541
1.73466,542
1.73863,543
1.74094,544
1.74657,545
1.749,546
1.75238,547
1.75255,548
1.75626,549
1.75703,550
1.76102,551
1.76164,552
1.76318,553
1.76626,554
1.76661,555
1.76793,556
1.76982,557
1.77226,558
1.77445,559
1.77606,560
1.78495,561
1.78574,562
1.78585,563
1.78927,564
1.79416,565
1.79862,566
1.79983,567
1.80052,568
1.80331,569
1.80407,570
1.80927,571
1.82138,572
1.82233,573
1.82268,574
1.82466,575
1.83113,576
1.83325,577
1.83347,578
1.83436,579
1.83504,580
1.83677,581
1.83729,582
1.84129,583
1.84215,584
1.8512,585
1.85727,586
1.8574,587
1.86293,588
1.86806,589
1.86809,590
1.8735,591
1.87661,592
1.87695,593
1.87702,594
1.88234,595
1.88294,596
1.88751,597
1.88902,598
1.89044,599
1.89302,600
1.89598,601
1.89737,602
1.89882,603
1.89896,604
1.89964,605
1.90289,606
1.9035,607
1.90427,608
1.91094,609
1.91448,610
1.91501,611
1.91575,612
1.9222,613
1.92773,614
1.92805,615
1.93131,616
1.93142,617
1.93379,618
1.9352,619
1.93949,620
1.94581,621
1.94681,622
1.95056,623
1.95253,624
1.95996,625
1.96108,626
1.96172,627
1.96303,628
1.96694,629
1.96828,630
1.96974,631
1.97148,632
1.97942,633
1.98119,634
1.98347,635
1.98358,636
1.98619,637
1.98673,638
1.98835,639
1.99572,640
1.99773,641
1.99848,642
2.00451,643
2.00681,644
2.00874,645
2.01237,646
2.01538,647
2.01937,648
2.02219,649
2.02382,650
2.02424,651
2.02478,652
2.0273,653
2.02894,654
2.02929,655
2.03029,656
