Individual Block Times,Index
0.0638377,1
0.114668,2
0.0281789,3
0.0396899,4
0.0181078,5
0.163596,6
0.0582657,7
0.257831,8
0.0168201,9
0.0555639,10
0.119107,11
0.0660698,12
0.0235979,13
0.0063534,14
0.0054666,15
0.065009,16
0.0063522,17
0.0209972,18
0.0797979,19
0.0040908,20
0.0247041,21
0.0319586,22
0.0046452,23
0.102303,24
0.0344359,25
0.0536341,26
0.17427,27
0.0143088,28
0.0569305,29
0.0161987,30
0.0256584,31
0.0190431,32
0.0743696,33
0.0235587,34
0.112087,35
0.0251225,36
0.0135432,37
0.0183881,38
0.0150183,39
0.0142519,40
0.203024,41
0.0019394,42
0.0178394,43
0.0022217,44
0.0816364,45
0.0472009,46
0.0380114,47
0.135056,48
0.028039,49
0.0247583,50
0.0211121,51
0.0016983,52
0.0424237,53
0.0262487,54
0.0060236,55
0.0048521,56
0.0777766,57
0.0117563,58
0.0842822,59
0.05175,60
0.139958,61
3.4e-05,62
0.0297396,63
0.0125546,64
0.0223353,65
0.0112013,66
0.0017236,67
0.0002323,68
0.0480807,69
0.010577,70
0.0102641,71
0.0507785,72
0.125694,73
0.0091129,74
0.153268,75
0.0307085,76
0.0147417,77
0.0363457,78
0.0272534,79
0.0150906,80
0.0593949,81
0.0540612,82
0.0572944,83
0.0095764,84
0.0986439,85
0.0487254,86
0.0284283,87
0.0172164,88
0.0198116,89
0.0830428,90
0.0194952,91
0.0730146,92
0.0696399,93
0.0108658,94
0.0067883,95
0.0065565,96
0.0268116,97
0.0235722,98
0.0825403,99
0.0238755,100
0.0461801,101
0.115565,102
0.0187303,103
0.0446811,104
0.0133941,105
0.0815297,106
0.0055676,107
0.0619888,108
0.0086807,109
0.0042259,110
0.0126273,111
0.0353218,112
0.176899,113
0.0548212,114
0.10269,115
0.0194062,116
0.040326,117
0.0462985,118
0.0159878,119
0.0100354,120
0.117161,121
0.0859375,122
0.006005,123
0.0829078,124
0.0327352,125
0.0217474,126
0.0190005,127
0.0237365,128
0.0196361,129
0.0177601,130
0.062672,131
0.0590646,132
0.146033,133
0.126805,134
0.0008588,135
0.0008917,136
0.0707253,137
0.0069511,138
0.0343684,139
0.0451939,140
0.129226,141
0.038304,142
0.0338556,143
0.0244741,144
0.0102222,145
0.0204721,146
0.0143217,147
0.0127447,148
0.0224301,149
0.0273656,150
0.0048669,151
0.0018137,152
0.0062531,153
0.0706459,154
0.0024652,155
0.006082,156
0.229,157
0.0358026,158
0.0207174,159
0.020085,160
0.0040146,161
0.0235844,162
0.126617,163
0.0596168,164
0.0222701,165
0.055479,166
0.0409458,167
0.08811,168
0.0094725,169
0.0256154,170
0.0064544,171
0.0063269,172
0.0362817,173
0.0461445,174
0.035289,175
0.0530771,176
0.0108034,177
0.103351,178
0.0853192,179
0.0102625,180
0.0570225,181
0.0599227,182
0.0428966,183
0.0119507,184
0.108252,185
0.0265581,186
0.0025166,187
0.0511498,188
0.0118313,189
