Individual Block Times,Index
0.0338153,1
0.0686364,2
0.0181459,3
0.0230153,4
0.0102927,5
0.104723,6
0.0356426,7
0.161672,8
0.0085122,9
0.0363264,10
0.0790125,11
0.0452232,12
0.0176825,13
0.0050704,14
0.0040114,15
0.047195,16
0.004961,17
0.0148918,18
0.04805,19
0.0024167,20
0.014462,21
0.0209035,22
0.0025196,23
0.0603687,24
0.0222151,25
0.0337692,26
0.121282,27
0.0105679,28
0.0421074,29
0.0121011,30
0.0175772,31
0.0118374,32
0.0478868,33
0.0155249,34
0.0812617,35
0.0178749,36
0.0091263,37
0.0133559,38
0.0113488,39
0.0102314,40
0.144284,41
0.0010832,42
0.011886,43
0.0016361,44
0.0528082,45
0.0330703,46
0.0280567,47
0.0972067,48
0.0200736,49
0.0168669,50
0.0153145,51
0.0011889,52
0.0290665,53
0.0183247,54
0.004209,55
0.0035311,56
0.0558148,57
0.0084665,58
0.0590494,59
0.0372726,60
0.100716,61
2.67e-05,62
0.0230385,63
0.0095437,64
0.0170142,65
0.0086519,66
0.0005908,67
6.63e-05,68
0.0351539,69
0.0079152,70
0.0079656,71
0.0365255,72
0.104051,73
0.006485,74
0.105634,75
0.0231212,76
0.0107668,77
0.0203954,78
0.0197447,79
0.0112082,80
0.0438101,81
0.0385384,82
0.040396,83
0.007499,84
0.0734153,85
0.0318148,86
0.0197827,87
0.0127644,88
0.0145302,89
0.0606571,90
0.0144062,91
0.0490812,92
0.0518141,93
0.0078304,94
0.0050218,95
0.0051556,96
0.0204486,97
0.0141656,98
0.059944,99
0.0161004,100
0.035101,101
0.0823543,102
0.0137556,103
0.0326072,104
0.0095033,105
0.055427,106
0.0041384,107
0.0479894,108
0.0073469,109
0.002835,110
0.0092539,111
0.0237831,112
0.129191,113
0.0372969,114
0.0751979,115
0.0146063,116
0.0277523,117
0.0322822,118
0.0111454,119
0.0059698,120
0.0876696,121
0.0610642,122
0.0042974,123
0.0479386,124
0.0207834,125
0.013692,126
0.0138384,127
0.0174663,128
0.0146073,129
0.0123184,130
0.0422221,131
0.0444714,132
0.104047,133
0.0951252,134
0.0004483,135
0.0005618,136
0.0495653,137
0.0058021,138
0.0249136,139
0.0323187,140
0.0949343,141
0.0287505,142
0.0238333,143
0.0170286,144
0.0071877,145
0.0152286,146
0.0084644,147
0.0071387,148
0.0151275,149
