Individual Block Times,Index
0.0644213,1
0.175251,2
0.203433,3
0.236819,4
0.251148,5
0.406868,6
0.473581,7
0.725339,8
0.74388,9
0.804805,10
0.920497,11
0.99092,12
1.01656,13
1.02282,14
1.02858,15
1.09151,16
1.09957,17
1.11963,18
1.18623,19
1.19063,20
1.21117,21
1.24008,22
1.24414,23
1.32654,24
1.35665,25
1.41175,26
1.58854,27
1.60338,28
1.65762,29
1.67496,30
1.69995,31
1.71576,32
1.78605,33
1.80981,34
1.9216,35
1.94904,36
1.96281,37
1.98077,38
1.99589,39
2.00986,40
2.20805,41
2.20956,42
2.22716,43
2.22964,44
2.2999,45
2.34892,46
2.38694,47
2.53135,48
2.56201,49
2.58768,50
2.60918,51
2.61102,52
2.64991,53
2.67468,54
2.68043,55
2.68597,56
2.76215,57
2.7817,58
2.8698,59
2.92526,60
3.05635,61
3.05642,62
3.08907,63
3.10263,64
3.12532,65
3.13633,66
3.13775,67
3.13789,68
3.18414,69
3.1952,70
3.20511,71
3.25202,72
3.38176,73
3.38999,74
3.5326,75
3.56454,76
3.57954,77
3.60725,78
3.63498,79
3.65159,80
3.71123,81
3.76186,82
3.81254,83
3.82271,84
3.92394,85
3.96704,86
3.99308,87
4.01166,88
4.03111,89
4.11609,90
4.13582,91
4.20069,92
4.27709,93
4.2876,94
4.29577,95
4.30199,96
4.32863,97
4.34765,98
4.42788,99
